# from http://www.magnetkern.de/spektrum.html
rgb,CIECAM02,width
005eff,455.75,0.060000000000002274
005fff,455.81,0.060000000000002274
0060ff,455.87,0.08999999999997499
0061ff,455.96,0.06999999999999318
0062ff,456.03,0.07000000000005002
0063ff,456.1,0.06999999999999318
0064ff,456.17,0.06999999999999318
0065ff,456.24,0.07999999999998408
0066ff,456.32,0.07999999999998408
0067ff,456.4,0.11000000000001364
0068ff,456.51,0.07999999999998408
0069ff,456.59,0.09000000000003183
006aff,456.68,0.08999999999997499
006bff,456.77,0.09000000000003183
006cff,456.86,0.0999999999999659
006dff,456.96,0.10000000000002274
006eff,457.06,0.10000000000002274
006fff,457.16,0.0999999999999659
0070ff,457.26,0.12999999999999545
0071ff,457.39,0.11000000000001364
0072ff,457.5,0.12000000000000455
0073ff,457.62,0.11000000000001364
0074ff,457.73,0.12000000000000455
0075ff,457.85,0.12000000000000455
0076ff,457.97,0.14999999999997726
0077ff,458.12,0.12999999999999545
0078ff,458.25,0.13999999999998636
0079ff,458.39,0.12999999999999545
007aff,458.52,0.160000000000025
007bff,458.68,0.14999999999997726
007cff,458.83,0.1400000000000432
007dff,458.97,0.17999999999994998
007eff,459.15,0.1500000000000341
007fff,459.3,0.18999999999999773
0080ff,459.49,0.15999999999996817
0081ff,459.65,0.18999999999999773
0082ff,459.84,0.17000000000001592
0083ff,460.01,0.1500000000000341
0084ff,460.16,0.12999999999999545
0085ff,460.29,0.13999999999998636
0086ff,460.43,0.15999999999996817
0087ff,460.59,0.1400000000000432
0088ff,460.73,0.16999999999995907
0089ff,460.9,0.17000000000001592
008aff,461.07,0.17000000000001592
008bff,461.24,0.15999999999996817
008cff,461.4,0.18000000000000682
008dff,461.58,0.21000000000003638
008eff,461.79,0.18999999999999773
008fff,461.98,0.18999999999999773
0090ff,462.17,0.21999999999997044
0091ff,462.39,0.2300000000000182
0092ff,462.62,0.20999999999997954
0093ff,462.83,0.25
0094ff,463.08,0.25
0095ff,463.33,0.2400000000000091
0096ff,463.57,0.2699999999999818
0097ff,463.84,0.28000000000002956
0098ff,464.12,0.3100000000000023
0099ff,464.43,0.3100000000000023
009aff,464.74,0.2899999999999636
009bff,465.03,0.160000000000025
009cff,465.19,0.17000000000001592
009dff,465.36,0.18000000000000682
009eff,465.54,0.18000000000000682
009fff,465.72,0.18999999999999773
00a0ff,465.91,0.20999999999997954
00a1ff,466.12,0.20999999999997954
00a2ff,466.33,0.22000000000002728
00a3ff,466.55,0.2400000000000091
00a4ff,466.79,0.25
00a5ff,467.04,0.2699999999999818
00a6ff,467.31,0.2699999999999818
00a7ff,467.58,0.3100000000000023
00a8ff,467.89,0.3199999999999932
00a9ff,468.21,0.35000000000002274
00aaff,468.56,0.37000000000000455
00abff,468.93,0.4200000000000159
00acff,469.35,0.44999999999998863
00adff,469.8,0.2899999999999636
00aeff,470.09,0.18000000000000682
00afff,470.27,0.18000000000000682
00b0ff,470.45,0.18999999999999773
00b1ff,470.64,0.19999999999998863
00b2ff,470.84,0.21000000000003638
00b3ff,471.05,0.21999999999997044
00b4ff,471.27,0.2400000000000091
00b5ff,471.51,0.25
00b6ff,471.76,0.2599999999999909
00b7ff,472.02,0.28000000000002956
00b8ff,472.3,0.30000000000001137
00b9ff,472.6,0.3199999999999932
00baff,472.92,0.3599999999999568
00bbff,473.28,0.3800000000000523
00bcff,473.66,0.4399999999999977
00bdff,474.1,0.46999999999997044
00beff,474.57,0.45999999999997954
00bfff,475.03,0.1500000000000341
00c0ff,475.18,0.15999999999996817
00c1ff,475.34,0.18000000000000682
00c2ff,475.52,0.17000000000001592
00c3ff,475.69,0.18999999999999773
00c4ff,475.88,0.19999999999998863
00c5ff,476.08,0.21000000000003638
00c6ff,476.29,0.21999999999997044
00c7ff,476.51,0.22000000000002728
00c8ff,476.73,0.25
00c9ff,476.98,0.2599999999999909
00caff,477.24,0.2899999999999636
00cbff,477.53,0.30000000000001137
00ccff,477.83,0.3199999999999932
00cdff,478.15,0.35000000000002274
00ceff,478.5,0.37999999999999545
00cfff,478.88,0.4200000000000159
00d0ff,479.3,0.46999999999997044
00d1ff,479.77,0.30000000000001137
00d2ff,480.07,0.1500000000000341
00d3ff,480.22,0.13999999999998636
00d4ff,480.36,0.15999999999996817
00d5ff,480.52,0.160000000000025
00d6ff,480.68,0.17000000000001592
00d7ff,480.85,0.17999999999994998
00d8ff,481.03,0.18000000000000682
00d9ff,481.21,0.20000000000004547
00daff,481.41,0.20999999999997954
00dbff,481.62,0.20999999999997954
00dcff,481.83,0.2400000000000091
00ddff,482.07,0.2400000000000091
00deff,482.31,0.25
00dfff,482.56,0.2799999999999727
00e0ff,482.84,0.29000000000002046
00e1ff,483.13,0.3100000000000023
00e2ff,483.44,0.339999999999975
00e3ff,483.78,0.35000000000002274
00e4ff,484.13,0.38999999999998636
00e5ff,484.52,0.410000000000025
00e6ff,484.93,0.18000000000000682
00e7ff,485.11,0.14999999999997726
00e8ff,485.26,0.1500000000000341
00e9ff,485.41,0.15999999999996817
00eaff,485.57,0.160000000000025
00ebff,485.73,0.16999999999995907
00ecff,485.9,0.18000000000000682
00edff,486.08,0.18000000000000682
00eeff,486.26,0.19999999999998863
00efff,486.46,0.20000000000004547
00f0ff,486.66,0.20999999999997954
00f1ff,486.87,0.21999999999997044
00f2ff,487.09,0.2300000000000182
00f3ff,487.32,0.2400000000000091
00f4ff,487.56,0.25
00f5ff,487.81,0.2599999999999909
00f6ff,488.07,0.2599999999999909
00f7ff,488.33,0.28000000000002956
00f8ff,488.61,0.2799999999999727
00f9ff,488.89,0.30000000000001137
00faff,489.19,0.30000000000001137
00fbff,489.49,0.30000000000001137
00fcff,489.79,0.2699999999999818
00fdff,490.06,0.18000000000000682
00feff,490.24,0.18999999999999773
00ffff,490.43,0.18999999999999773
00fffe,490.62,0.18999999999999773
00fffd,490.81,0.19999999999998863
00fffc,491.01,0.21000000000003638
00fffb,491.22,0.20999999999997954
00fffa,491.43,0.20999999999997954
00fff9,491.64,0.22000000000002728
00fff8,491.86,0.21999999999997044
00fff7,492.08,0.22000000000002728
00fff6,492.3,0.22999999999996135
00fff5,492.53,0.2300000000000182
00fff4,492.76,0.2300000000000182
00fff3,492.99,0.2300000000000182
00fff2,493.22,0.22999999999996135
00fff1,493.45,0.2400000000000091
00fff0,493.69,0.2300000000000182
00ffef,493.92,0.22999999999996135
00ffee,494.15,0.2400000000000091
00ffed,494.39,0.2300000000000182
00ffec,494.62,0.2300000000000182
00ffeb,494.85,0.23999999999995225
00ffea,495.09,0.30000000000001137
00ffe9,495.39,0.28000000000002956
00ffe8,495.67,0.2899999999999636
00ffe7,495.96,0.28000000000002956
00ffe6,496.24,0.2699999999999818
00ffe5,496.51,0.2699999999999818
00ffe4,496.78,0.27000000000003865
00ffe3,497.05,0.2599999999999909
00ffe2,497.31,0.25
00ffe1,497.56,0.25
00ffe0,497.81,0.25
00ffdf,498.06,0.2300000000000182
00ffde,498.29,0.22999999999996135
00ffdd,498.52,0.2300000000000182
00ffdc,498.75,0.22000000000002728
00ffdb,498.97,0.20999999999997954
00ffda,499.18,0.20999999999997954
00ffd9,499.39,0.19999999999998863
00ffd8,499.59,0.20000000000004547
00ffd7,499.79,0.18999999999999773
00ffd6,499.98,0.3299999999999841
00ffd5,500.31,0.339999999999975
00ffd4,500.65,0.3300000000000409
00ffd3,500.98,0.3299999999999841
00ffd2,501.31,0.3100000000000023
00ffd1,501.62,0.30000000000001137
00ffd0,501.92,0.2899999999999636
00ffcf,502.21,0.29000000000002046
00ffce,502.5,0.2699999999999818
00ffcd,502.77,0.27000000000003865
00ffcc,503.04,0.2599999999999909
00ffcb,503.3,0.25
00ffca,503.55,0.2400000000000091
00ffc9,503.79,0.22999999999996135
00ffc8,504.02,0.2300000000000182
00ffc7,504.25,0.2300000000000182
00ffc6,504.48,0.20999999999997954
00ffc5,504.69,0.20999999999997954
00ffc4,504.9,0.28000000000002956
00ffc3,505.18,0.3499999999999659
00ffc2,505.53,0.34000000000003183
00ffc1,505.87,0.3299999999999841
00ffc0,506.2,0.3100000000000023
00ffbf,506.51,0.3100000000000023
00ffbe,506.82,0.30000000000001137
00ffbd,507.12,0.30000000000001137
00ffbc,507.42,0.2799999999999727
00ffbb,507.7,0.28000000000002956
00ffba,507.98,0.2699999999999818
00ffb9,508.25,0.2599999999999909
00ffb8,508.51,0.25
00ffb7,508.76,0.25
00ffb6,509.01,0.2400000000000091
00ffb5,509.25,0.2400000000000091
00ffb4,509.49,0.2300000000000182
00ffb3,509.72,0.21999999999997044
00ffb2,509.94,0.3100000000000023
00ffb1,510.25,0.339999999999975
00ffb0,510.59,0.32000000000005
00ffaf,510.91,0.3199999999999932
00ffae,511.23,0.3100000000000023
00ffad,511.54,0.2999999999999545
00ffac,511.84,0.30000000000001137
00ffab,512.14,0.2899999999999636
00ffaa,512.43,0.2800000000000864
00ffa9,512.71,0.2699999999999818
00ffa8,512.98,0.2699999999999818
00ffa7,513.25,0.2699999999999818
00ffa6,513.52,0.25
00ffa5,513.77,0.25
00ffa4,514.02,0.25
00ffa3,514.27,0.2400000000000091
00ffa2,514.51,0.2300000000000182
00ffa1,514.74,0.2300000000000182
00ffa0,514.97,0.32999999999992724
00ff9f,515.3,0.34000000000003183
00ff9e,515.64,0.3300000000000409
00ff9d,515.97,0.32999999999992724
00ff9c,516.3,0.3100000000000591
00ff9b,516.61,0.31999999999993634
00ff9a,516.93,0.3000000000000682
00ff99,517.23,0.2999999999999545
00ff98,517.53,0.2900000000000773
00ff97,517.82,0.2899999999999636
00ff96,518.11,0.2799999999999727
00ff95,518.39,0.2599999999999909
00ff94,518.65,0.2799999999999727
00ff93,518.93,0.2600000000001046
00ff92,519.19,0.25
00ff91,519.44,0.2599999999999909
00ff90,519.7,0.2400000000000091
00ff8f,519.94,0.32999999999992724
00ff8e,520.27,0.36000000000001364
00ff8d,520.63,0.3300000000000409
00ff8c,520.96,0.32999999999992724
00ff8b,521.29,0.3300000000000409
00ff8a,521.62,0.32000000000005
00ff89,521.94,0.31999999999993634
00ff88,522.26,0.3100000000000591
00ff87,522.57,0.2999999999999545
00ff86,522.87,0.2999999999999545
00ff85,523.17,0.2900000000000773
00ff84,523.46,0.2899999999999636
00ff83,523.75,0.2699999999999818
00ff82,524.02,0.2899999999999636
00ff81,524.31,0.2600000000001046
00ff80,524.57,0.2699999999999818
00ff7f,524.84,0.2799999999999727
00ff7e,525.12,0.32000000000005
00ff7d,525.44,0.30999999999994543
00ff7c,525.75,0.2899999999999636
00ff7b,526.04,0.3000000000000682
00ff7a,526.34,0.2899999999999636
00ff79,526.63,0.2799999999999727
00ff78,526.91,0.2900000000000773
00ff77,527.2,0.2699999999999818
00ff76,527.47,0.2699999999999818
00ff75,527.74,0.2799999999999727
00ff74,528.02,0.2599999999999909
00ff73,528.28,0.25
00ff72,528.53,0.25
00ff71,528.78,0.25
00ff70,529.03,0.25
00ff6f,529.28,0.2400000000000091
00ff6e,529.52,0.2400000000000091
00ff6d,529.76,0.2300000000000182
00ff6c,529.99,0.25
00ff6b,530.24,0.2599999999999909
00ff6a,530.5,0.25
00ff69,530.75,0.2300000000000182
00ff68,530.98,0.25
00ff67,531.23,0.2300000000000182
00ff66,531.46,0.2400000000000091
00ff65,531.7,0.2199999999999136
00ff64,531.92,0.22000000000002728
00ff63,532.14,0.2400000000000091
00ff62,532.38,0.21000000000003638
00ff61,532.59,0.2099999999999227
00ff60,532.8,0.22000000000002728
00ff5f,533.02,0.20000000000004547
00ff5e,533.22,0.1999999999999318
00ff5d,533.42,0.20000000000004547
00ff5c,533.62,0.20000000000004547
00ff5b,533.82,0.17999999999994998
00ff5a,534.0,0.20000000000004547
00ff59,534.2,0.17999999999994998
00ff58,534.38,0.19000000000005457
00ff57,534.57,0.17999999999994998
00ff56,534.75,0.16999999999995907
00ff55,534.92,0.18000000000006366
00ff54,535.1,0.18999999999994088
00ff53,535.29,0.17000000000007276
00ff52,535.46,0.17999999999994998
00ff51,535.64,0.16999999999995907
00ff50,535.81,0.18000000000006366
00ff4f,535.99,0.15999999999996817
00ff4e,536.15,0.15999999999996817
00ff4d,536.31,0.16000000000008185
00ff4c,536.47,0.15999999999996817
00ff4b,536.63,0.15999999999996817
00ff4a,536.79,0.15000000000009095
00ff49,536.94,0.13999999999998636
00ff48,537.08,0.15999999999996817
00ff47,537.24,0.12999999999999545
00ff46,537.37,0.14999999999997726
00ff45,537.52,0.13999999999998636
00ff44,537.66,0.13999999999998636
00ff43,537.8,0.12999999999999545
00ff42,537.93,0.12999999999999545
00ff41,538.06,0.13000000000010914
00ff40,538.19,0.12999999999999545
00ff3f,538.32,0.12999999999999545
00ff3e,538.45,0.12000000000000455
00ff3d,538.57,0.12000000000000455
00ff3c,538.69,0.09999999999990905
00ff3b,538.79,0.12000000000000455
00ff3a,538.91,0.11000000000001364
00ff39,539.02,0.12000000000000455
00ff38,539.14,0.11000000000001364
00ff37,539.25,0.10000000000002274
00ff36,539.35,0.10000000000002274
00ff35,539.45,0.09999999999990905
00ff34,539.55,0.10000000000002274
00ff33,539.65,0.09000000000003183
00ff32,539.74,0.11000000000001364
00ff31,539.85,0.07999999999992724
00ff30,539.93,0.10000000000002274
00ff2f,540.03,0.08000000000004093
00ff2e,540.11,0.09000000000003183
00ff2d,540.2,0.07999999999992724
00ff2c,540.28,0.08000000000004093
00ff2b,540.36,0.08000000000004093
00ff2a,540.44,0.06999999999993634
00ff29,540.51,0.09000000000003183
00ff28,540.6,0.06999999999993634
00ff27,540.67,0.06000000000005912
00ff26,540.73,0.07999999999992724
00ff25,540.81,0.07000000000005002
00ff24,540.88,0.06000000000005912
00ff23,540.94,0.05999999999994543
00ff22,541.0,0.07000000000005002
00ff21,541.07,0.05999999999994543
00ff20,541.13,0.06000000000005912
00ff1f,541.19,0.049999999999954525
00ff1e,541.24,0.05999999999994543
00ff1d,541.3,0.05000000000006821
00ff1c,541.35,0.049999999999954525
00ff1b,541.4,0.05000000000006821
00ff1a,541.45,0.049999999999954525
00ff19,541.5,0.049999999999954525
00ff18,541.55,0.04000000000007731
00ff17,541.59,0.049999999999954525
00ff16,541.64,0.029999999999972715
00ff15,541.67,0.04000000000007731
00ff14,541.71,0.049999999999954525
00ff13,541.76,0.029999999999972715
00ff12,541.79,0.030000000000086402
00ff11,541.82,0.029999999999972715
00ff10,541.85,0.03999999999996362
00ff0f,541.89,0.029999999999972715
00ff0e,541.92,0.030000000000086402
00ff0d,541.95,0.01999999999998181
00ff0c,541.97,0.029999999999972715
00ff0b,542.0,0.029999999999972715
00ff0a,542.03,0.01999999999998181
00ff09,542.05,0.020000000000095497
00ff08,542.07,0.01999999999998181
00ff07,542.09,0.029999999999972715
00ff06,542.12,0.029999999999972715
00ff05,542.15,0.01999999999998181
00ff04,542.17,0.020000000000095497
00ff03,542.19,0.01999999999998181
00ff02,542.21,0.029999999999972715
00ff01,542.24,0.029999999999972715
00ff00,542.27,0.009999999999990905
01ff00,542.28,0.009999999999990905
02ff00,542.29,0.01999999999998181
03ff00,542.31,0.010000000000104592
04ff00,542.32,0.009999999999990905
05ff00,542.33,0.01999999999998181
06ff00,542.35,-0.0
07ff00,542.35,0.009999999999990905
08ff00,542.36,0.009999999999990905
09ff00,542.37,0.01999999999998181
0aff00,542.39,0.009999999999990905
0bff00,542.4,0.009999999999990905
0cff00,542.41,0.01999999999998181
0dff00,542.43,0.020000000000095497
0eff00,542.45,0.009999999999990905
0fff00,542.46,0.01999999999998181
10ff00,542.48,0.01999999999998181
11ff00,542.5,0.01999999999998181
12ff00,542.52,0.01999999999998181
13ff00,542.54,0.01999999999998181
14ff00,542.56,0.020000000000095497
15ff00,542.58,0.029999999999972715
16ff00,542.61,0.009999999999990905
17ff00,542.62,0.01999999999998181
18ff00,542.64,0.029999999999972715
19ff00,542.67,0.020000000000095497
1aff00,542.69,0.029999999999972715
1bff00,542.72,0.029999999999972715
1cff00,542.75,0.029999999999972715
1dff00,542.78,0.029999999999972715
1eff00,542.81,0.030000000000086402
1fff00,542.84,0.03999999999996362
20ff00,542.88,0.01999999999998181
21ff00,542.9,0.029999999999972715
22ff00,542.93,0.04000000000007731
23ff00,542.97,0.029999999999972715
24ff00,543.0,0.03999999999996362
25ff00,543.04,0.04000000000007731
26ff00,543.08,0.03999999999996362
27ff00,543.12,0.029999999999972715
28ff00,543.15,0.04000000000007731
29ff00,543.19,0.03999999999996362
2aff00,543.23,0.049999999999954525
2bff00,543.28,0.04000000000007731
2cff00,543.32,0.049999999999954525
2dff00,543.37,0.03999999999996362
2eff00,543.41,0.04000000000007731
2fff00,543.45,0.049999999999954525
30ff00,543.5,0.049999999999954525
31ff00,543.55,0.06000000000005912
32ff00,543.61,0.03999999999996362
33ff00,543.65,0.05000000000006821
34ff00,543.7,0.05999999999994543
35ff00,543.76,0.049999999999954525
36ff00,543.81,0.06000000000005912
37ff00,543.87,0.049999999999954525
38ff00,543.92,0.06000000000005912
39ff00,543.98,0.05999999999994543
3aff00,544.04,0.07000000000005002
3bff00,544.11,0.049999999999954525
3cff00,544.16,0.06000000000005912
3dff00,544.22,0.06999999999993634
3eff00,544.29,0.05000000000006821
3fff00,544.34,0.06999999999993634
40ff00,544.41,0.07000000000005002
41ff00,544.48,0.07999999999992724
42ff00,544.56,0.06000000000005912
43ff00,544.62,0.07000000000005002
44ff00,544.69,0.07999999999992724
45ff00,544.77,0.06000000000005912
46ff00,544.83,0.07999999999992724
47ff00,544.91,0.08000000000004093
48ff00,544.99,0.06999999999993634
49ff00,545.06,0.07000000000005002
4aff00,545.13,0.07000000000005002
4bff00,545.2,0.06999999999993634
4cff00,545.27,0.08000000000004093
4dff00,545.35,0.07999999999992724
4eff00,545.43,0.08000000000004093
4fff00,545.51,0.08000000000004093
50ff00,545.59,0.07999999999992724
51ff00,545.67,0.08000000000004093
52ff00,545.75,0.08000000000004093
53ff00,545.83,0.08999999999991815
54ff00,545.92,0.08000000000004093
55ff00,546.0,0.09000000000003183
56ff00,546.09,0.08999999999991815
57ff00,546.18,0.09000000000003183
58ff00,546.27,0.09000000000003183
59ff00,546.36,0.10000000000002274
5aff00,546.46,0.08999999999991815
5bff00,546.55,0.09000000000003183
5cff00,546.64,0.10000000000002274
5dff00,546.74,0.10000000000002274
5eff00,546.84,0.10000000000002274
5fff00,546.94,0.09999999999990905
60ff00,547.04,0.10000000000002274
61ff00,547.14,0.10000000000002274
62ff00,547.24,0.11000000000001364
63ff00,547.35,0.10000000000002274
64ff00,547.45,0.10999999999989996
65ff00,547.56,0.11000000000001364
66ff00,547.67,0.11000000000001364
67ff00,547.78,0.11000000000001364
68ff00,547.89,0.11000000000001364
69ff00,548.0,0.12000000000000455
6aff00,548.12,0.11000000000001364
6bff00,548.23,0.12000000000000455
6cff00,548.35,0.12000000000000455
6dff00,548.47,0.12000000000000455
6eff00,548.59,0.12000000000000455
6fff00,548.71,0.11000000000001364
70ff00,548.82,0.12000000000000455
71ff00,548.94,0.12999999999999545
72ff00,549.07,0.12999999999999545
73ff00,549.2,0.12000000000000455
74ff00,549.32,0.12999999999999545
75ff00,549.45,0.12999999999999545
76ff00,549.58,0.13999999999998636
77ff00,549.72,0.12999999999999545
78ff00,549.85,0.13999999999998636
79ff00,549.99,0.12000000000000455
7aff00,550.11,0.12000000000000455
7bff00,550.23,0.12000000000000455
7cff00,550.35,0.12999999999999545
7dff00,550.48,0.12000000000000455
7eff00,550.6,0.12999999999999545
7fff00,550.73,0.12999999999999545
80ff00,550.86,0.12000000000000455
81ff00,550.98,0.12999999999999545
82ff00,551.11,0.13999999999998636
83ff00,551.25,0.12999999999999545
84ff00,551.38,0.12999999999999545
85ff00,551.51,0.13999999999998636
86ff00,551.65,0.13999999999998636
87ff00,551.79,0.13999999999998636
88ff00,551.93,0.14000000000010004
